,country,Population,page,rev_id
9986,Cook Island,0,Atatoa Herman,767994335.0
9987,Cook Island,0,Joe Williams (Cook Islands politician),763776856.0
9988,Cook Island,0,Frederick Tutu Goodwin,784686871.0
9989,Cook Island,0,Kura Strickland,763776806.0
9990,Cook Island,0,Mana Strickland,788499686.0
9991,Cook Island,0,Robert Wigmore,794802546.0
9992,Cook Island,0,Pupuke Robati,763776270.0
9993,Cook Island,0,Tom Davis (Cook Islands politician),778763952.0
9994,Cook Island,0,Mapu Taia,763776235.0
9995,Cook Island,0,Tepure Tapaitau,763776231.0
9996,Cook Island,0,Pa Tepaeru Terito Ariki,805657875.0
9997,Cook Island,0,Tupou Faireka,763774025.0
9998,Cook Island,0,Winton Pickering,763775034.0
9999,Cook Island,0,Apii Piho,763775030.0
10000,Cook Island,0,Albert Nicholas (Cook Islands),763775035.0
10001,Cook Island,0,Tangata Vavia,763776191.0
10002,Cook Island,0,Taunga Toka,763776193.0
10003,Cook Island,0,Henry Puna,786648340.0
10004,Cook Island,0,Toanui Isamaela,763776103.0
10005,Cook Island,0,Marguerite Story,787227714.0
10006,Cook Island,0,Nandi Glassie,763774069.0
10007,Cook Island,0,Kete Ioane,778717694.0
10008,Cook Island,0,Pukeiti Pukeiti,794802590.0
10009,Cook Island,0,Teremoana Tapi Taio,763776229.0
10010,Cook Island,0,Ngamau Munokoa,784786128.0
10011,Cook Island,0,Terepai Maoate Jnr,763775893.0
10012,Cook Island,0,Tai Tura,763776737.0
10160,Cote d'Ivoire,24.9,0,0.0
10497,Curacao,0.2,0,0.0
10596,Czech Republic,0,Kamil Jankovský,723207013.0
10597,Czech Republic,0,Miloslav Ludvík,806586185.0
10598,Czech Republic,0,Vladimír Tošovský,807415625.0
10599,Czech Republic,0,František Sláma (politician),722937211.0
10600,Czech Republic,0,Miroslav Kostelka,803709959.0
10601,Czech Republic,0,Jan Korger,779501783.0
10602,Czech Republic,0,Svatopluk Němeček,804715467.0
10603,Czech Republic,0,Dana Jurásková,804715205.0
10604,Czech Republic,0,Eva Nováková,779498276.0
10605,Czech Republic,0,Vojtěch Adam,779500408.0
10606,Czech Republic,0,Richard Brabec,804820949.0
10607,Czech Republic,0,Dan Ťok,806231200.0
10608,Czech Republic,0,Jakob Marzel Sternberger,713698544.0
10609,Czech Republic,0,Vlastimil Balín,779500749.0
10610,Czech Republic,0,Jiří Dolejš,779500957.0
10611,Czech Republic,0,Zuzka Bebarová-Rujbrová,779501010.0
10612,Czech Republic,0,Marie Stiborová,779501096.0
10613,Czech Republic,0,Pavel Bém,794995687.0
10614,Czech Republic,0,Jiří Svoboda (politician),779501161.0
10615,Czech Republic,0,Tomáš Vandas,784968648.0
10616,Czech Republic,0,Miloslava Vostrá,779501194.0
10617,Czech Republic,0,Milan Uhde,780321961.0
10618,Czech Republic,0,Jiří Čeřovský,779501654.0
10619,Czech Republic,0,Miloslav Vlček,776513404.0
